sentence,tags
irgendwie bleibt das ganze essen in dem oberen bauchbereich hängen .,ADV VVFIN ART ADJA NN APPR ART ADJA NN VVINF $.
bis es sich an dem baby vorbei gedrückt hat dauert es ...,KOUS PPER PRF APPR ART NN PTKVZ VVPP VAFIN VVFIN PPER $.
nun ja ...,ADV PTKANT $.
COUCH NOW !!,FM FM $.
@einefraueinwort,NE
"na ist doch klar ein paar Rosinen , flakes und Milch dazu schon hast du ein wunderbares Müsli :)","ITJ VAFIN ADV ADJD ART PIAT NN $, NN KON NN PAV ADV VAFIN PPER ART ADJA NN EMO"
@labuero,NE
"Tatsache , als ich mal gaaanz nah rangezoomt bin , da hatten die kleinen Figürchen alle eine schwarzweiße Kappe auf ! ;)","NN $, KOUS PPER ADV ADV ADJD VVPP VAFIN $, ADV VAFIN ART ADJA NN PIS ART ADJA NN PTKVZ $. EMO"
#mmt31,HASH
Golf Plus Life : Wolfsburger Endspurt - http://t.co/CooTZ74V,NE NE FM $. ADJA NN $( NE
Kurze Tel-Domains auf der Startrampe,ADJA NN APPR ART NN
http://t.co/d6PTSxT4,NE
Ahja .,ITJ $.
Bei Twitter waren fast alle für Michelle .,APPR NE VAFIN ADV PIS APPR NE $.
Interessant .,ADJD $.
#tvog,HASH
"RT @ama302 : die samstage , an denen vormittags noch der "" fresh prince of bel air "" lief , waren die schoensten .","NN NE $. ART NN $, APPR PRELS ADV ADV ART $( NE NE NE NE NE $( VVFIN $, VAFIN ART NN $."
RT @KGeni : Ich werde nie Gefahr laufen durch den Gulli zu flutschen .,NN NE $. PPER VAFIN ADV NN VVINF APPR ART NN PTKZU VVINF $.
"Das ist der Vorteil von Kurven , ihr Size-Zero-Hühner .","PDS VAFIN ART NN APPR NN $, PPOSAT NN $."
@snoozing_Beauty,NE
bin dabei hab nur kein Strand,VAFIN PAV VAFIN ADV PIAT NN
Bundeswehr / BMVg : Die Neuausrichtung der Bundeswehr : Die deutsche Politik nutzt die Bundeswehr seit geraumer Zei ...,NN $( NN $. ART NN ART NN $. ART ADJA NN VVFIN ART NN APPR ADJA XY $.
http://t.co/6Ubyddb4,NE
@benFnord @sascha242,NE NE
das heißt MeM-Schnitzel .,PDS VVFIN NN $.
Mobile ethnische Minderheit .,ADJA ADJA NN $.
"Die Freunde nennen sich aufrichtig , die Feinde sind es .","ART NN VVFIN PRF ADJD $, ART NN VAFIN PPER $."
@wehrend,NE
